,level_0,index,close,high,low,open,s,t,v
21,28,2018-07-16 10:00:00,6347.5,6354.5,6344.5,6351.0,ok,1531702800.0,16246743.0
22,27,2018-07-16 09:00:00,6351.0,6380.5,6343.5,6347.5,ok,1531699200.0,87644641.0
23,26,2018-07-16 08:00:00,6347.5,6366.0,6335.0,6362.0,ok,1531695600.0,56983378.0
24,25,2018-07-16 07:00:00,6362.0,6383.0,6352.5,6376.0,ok,1531692000.0,43518528.0
25,24,2018-07-16 06:00:00,6376.0,6379.0,6363.5,6371.0,ok,1531688400.0,33562974.0
26,23,2018-07-16 05:00:00,6371.0,6371.0,6353.0,6361.0,ok,1531684800.0,17689022.0
27,22,2018-07-16 04:00:00,6361.0,6363.0,6345.0,6345.5,ok,1531681200.0,26001392.0
28,21,2018-07-16 03:00:00,6345.5,6370.5,6337.5,6370.5,ok,1531677600.0,50028498.0
29,20,2018-07-16 02:00:00,6370.5,6377.5,6351.5,6375.0,ok,1531674000.0,60468594.0
30,19,2018-07-16 01:00:00,6375.0,6385.0,6358.5,6363.5,ok,1531670400.0,76852161.0
31,18,2018-07-16 00:00:00,6363.5,6373.0,6339.5,6341.0,ok,1531666800.0,106495260.0
32,17,2018-07-15 23:00:00,6341.0,6355.0,6333.5,6343.5,ok,1531663200.0,49650907.0
33,16,2018-07-15 22:00:00,6343.5,6349.0,6326.0,6327.5,ok,1531659600.0,38658181.0
34,15,2018-07-15 21:00:00,6327.5,6344.0,6327.5,6343.5,ok,1531656000.0,41483588.0
35,14,2018-07-15 20:00:00,6343.5,6351.0,6323.0,6325.0,ok,1531652400.0,73072243.0
36,13,2018-07-15 19:00:00,6325.0,6392.0,6305.0,6305.0,ok,1531648800.0,191124234.0
37,12,2018-07-15 18:00:00,6305.0,6318.5,6297.0,6300.0,ok,1531645200.0,79417939.0
38,11,2018-07-15 17:00:00,6300.0,6343.0,6268.0,6268.0,ok,1531641600.0,181449229.0
39,10,2018-07-15 16:00:00,6268.0,6268.5,6257.5,6268.5,ok,1531638000.0,21494376.0
40,9,2018-07-15 15:00:00,6268.5,6274.0,6266.0,6271.5,ok,1531634400.0,19010634.0
41,8,2018-07-15 14:00:00,6271.5,6276.0,6259.5,6260.0,ok,1531630800.0,25753892.0
42,7,2018-07-15 13:00:00,6260.0,6270.5,6252.5,6252.5,ok,1531627200.0,37743680.0
43,6,2018-07-15 12:00:00,6252.5,6253.0,6243.5,6244.0,ok,1531623600.0,15149227.0
44,5,2018-07-15 11:00:00,6244.0,6245.0,6238.0,6239.5,ok,1531620000.0,16028579.0
45,4,2018-07-15 10:00:00,6239.5,6245.5,6231.0,6245.0,ok,1531616400.0,22308902.0
46,3,2018-07-15 09:00:00,6245.0,6256.5,6232.5,6245.5,ok,1531612800.0,30749448.0
47,2,2018-07-15 08:00:00,6245.5,6264.5,6245.5,6256.5,ok,1531609200.0,19682433.0
48,1,2018-07-15 07:00:00,6256.5,6274.0,6240.0,6260.0,ok,1531605600.0,34596459.0
49,0,2018-07-15 06:00:00,6260.0,6279.5,6255.0,6268.5,ok,1531602000.0,44188700.0
50,49,2018-07-15 05:00:00,6268.5,6320.0,6212.0,6268.0,ok,1531598400.0,168350651.0
51,48,2018-07-15 04:00:00,6268.0,6279.5,6200.0,6233.5,ok,1531594800.0,127693282.0
52,47,2018-07-15 03:00:00,6233.5,6300.0,6226.0,6261.0,ok,1531591200.0,114425175.0
53,46,2018-07-15 02:00:00,6261.0,6269.5,6255.0,6269.5,ok,1531587600.0,28240603.0
54,45,2018-07-15 01:00:00,6269.5,6269.5,6235.0,6235.0,ok,1531584000.0,107441115.0
55,44,2018-07-15 00:00:00,6235.0,6244.0,6216.5,6231.0,ok,1531580400.0,46534304.0
56,43,2018-07-14 23:00:00,6231.0,6239.5,6224.5,6229.0,ok,1531576800.0,26632052.0
57,42,2018-07-14 22:00:00,6229.0,6229.0,6220.0,6225.5,ok,1531573200.0,16331080.0
58,41,2018-07-14 21:00:00,6225.5,6239.5,6222.5,6225.5,ok,1531569600.0,37180225.0
59,40,2018-07-14 20:00:00,6225.5,6232.5,6215.5,6215.5,ok,1531566000.0,48465058.0
60,39,2018-07-14 19:00:00,6215.5,6218.5,6196.5,6197.0,ok,1531562400.0,47206163.0
61,38,2018-07-14 18:00:00,6197.0,6219.0,6181.5,6217.5,ok,1531558800.0,83399277.0
62,37,2018-07-14 17:00:00,6217.5,6220.0,6206.0,6220.0,ok,1531555200.0,21130474.0
63,36,2018-07-14 16:00:00,6220.0,6226.0,6203.0,6203.5,ok,1531551600.0,28326624.0
64,35,2018-07-14 15:00:00,6203.5,6225.5,6203.0,6221.5,ok,1531548000.0,25429510.0
65,34,2018-07-14 14:00:00,6221.5,6226.0,6216.0,6219.5,ok,1531544400.0,17815459.0
66,33,2018-07-14 13:00:00,6219.5,6222.5,6210.5,6210.5,ok,1531540800.0,23624134.0
67,32,2018-07-14 12:00:00,6210.5,6228.5,6202.0,6228.0,ok,1531537200.0,42811565.0
68,31,2018-07-14 11:00:00,6228.0,6238.0,6223.0,6231.5,ok,1531533600.0,28698417.0
69,30,2018-07-14 10:00:00,6231.5,6277.0,6208.0,6238.0,ok,1531530000.0,89392114.0
